адресовать;адрес.R+ов.S+а.S+ть.F
бахать;бах.R+а.S+ть.F
бахаться;бах.R+а.S+ть.F+ся.S
бахнуть;бах.R+ну.S+ть.F
бахнуться;бах.R+ну.S+ть.F+ся.S
бацать;бац.R+а.S+ть.F
бацаться;бац.R+а.S+ть.F+ся.S
бацнуть;бац.R+ну.S+ть.F
бацнуться;бац.R+ну.S+ть.F+ся.S
баюкать;ба.R+ю.S+ка.S+ть.F
баять;ба.R+я.S+ть.F
бдеть;бд.R+е.S+ть.F
бегать;бег.R+а.S+ть.F
беднеть;бед.R+н.S+е.S+ть.F
бедовать;бед.R+ов.S+а.S+ть.F
бедствовать;бед.R+ств.S+ов.S+а.S+ть.F
бежать;беж.R+а.S+ть.F
безбожничать;без.P+бож.R+н.S+ич.S+а.S+ть.F
бездействовать;без.P+де.R+й.S+ств.S+ов.S+а.S+ть.F
бездельничать;без.P+де.R+л.S+ь.S+н.S+ич.S+а.S+ть.F
бездомиичать;без.P+дом.R+и.S+ич.S+а.S+ть.F
беззаконничать;без.P+за.P+кон.R+н.S+ич.S+а.S+ть.F
безлюдеть;без.P+люд.R+е.S+ть.F
безобразиться;без.P+об.P+раз.R+и.S+ть.F+ся.S
безуметь;без.P+ум.R+е.S+ть.F
безумствовать;без.P+ум.R+ств.S+ов.S+а.S+ть.F
белеть;бел.R+е.S+ть.F
белеться;бел.R+е.S+ть.F+ся.S
белить;бел.R+и.S+ть.F
белиться;бел.R+и.S+ть.F+ся.S
бередить;беред.R+и.S+ть.F
беременеть;берем.R+ен.S+е.S+ть.F
беречь;береч.R+ь.F
беречься;береч.R+ь.F+ся.S
беседовать;бесед.R+ов.S+а.S+ть.F
бесить;бес.R+и.S+ть.F
беситься;бес.R+и.S+ть.F+ся.S
бесноваться;бес.R+нов.S+а.S+ть.F+ся.S
беспокоить;бес.P+поко.R+и.S+ть.F
беспокоиться;бес.P+поко.R+и.S+ть.F+ся.S
беспризорничать;бес.P+при.P+зор.R+н.S+ич.S+а.S+ть.F
беспутничать;бес.P+пут.R+н.S+ич.S+а.S+ть.F
беспутствовать;бес.P+пут.R+ств.S+ов.S+а.S+ть.F
бессилеть;бес.P+сил.R+е.S+ть.F
бесславить;бес.P+слав.R+и.S+ть.F
бесславиться;бес.P+слав.R+и.S+ть.F+ся.S
бесчестить;бес.P+чест.R+и.S+ть.F
бесчеститься;бес.P+чест.R+и.S+ть.F+ся.S
бешенствовать;беш.R+ен.S+ств.S+ов.S+а.S+ть.F
бивать;би.R+ва.S+ть.F
бинтовать;бинт.R+ов.S+а.S+ть.F
бинтоваться;бинт.R+ов.S+а.S+ть.F+ся.S
бить;би.R+ть.F
биться;би.R+ть.F+ся.S
бичевать;би.R+ч.S+ев.S+а.S+ть.F
бичеваться;би.R+ч.S+ев.S+а.S+ть.F+ся.S
благоденствовать;благоден.R+ств.S+ов.S+а.S+ть.F
блаженствовать;блаж.R+енств.S+ов.S+а.S+ть.F
блажить;блаж.R+и.S+ть.F
блевать;блев.R+а.S+ть.F
бледнеть;бледн.R+е.S+ть.F
бледнить;бледн.R+и.S+ть.F
блекнуть;блек.R+ну.S+ть.F
блеснуть;блес.R+ну.S+ть.F
блестеть;блест.R+е.S+ть.F
блеять;бле.R+я.S+ть.F
близиться;близ.R+и.S+ть.F+ся.S
блистать;блист.R+а.S+ть.F
блудить;блуд.R+и.S+ть.F
блуждать;блужд.R+а.S+ть.F
блюсти;блюс.R+ти.F
блюстись;блюс.R+ти.F+сь.S
богатеть;бог.R+ат.S+е.S+ть.F
бодать;бод.R+а.S+ть.F
бодаться;бод.R+а.S+ть.F+ся.S
боднуть;бод.R+ну.S+ть.F
бодрить;бодр.R+и.S+ть.F
бодриться;бодр.R+и.S+ть.F+ся.S
бодрствовать;бодр.R+ствов.S+а.S+ть.F
божиться;бож.R+и.S+ть.F+ся.S
болеть;бол.R+е.S+ть.F
болтать;болт.R+а.S+ть.F
болтаться;болт.R+а.S+ть.F+ся.S
болтнуть;болт.R+ну.S+ть.F
болтнуться;болт.R+ну.S+ть.F+ся.S
большевизировать;бол.R+ь.S+ш.S+ев.S+изиров.S+а.S+ть.F
большевизироваться;бол.R+ь.S+ш.S+ев.S+изиров.S+а.S+ть.F+ся.S
бондарить;бондар.R+и.S+ть.F
бормотать;бормот.R+а.S+ть.F
бороздить;борозд.R+и.S+ть.F
бороздиться;борозд.R+и.S+ть.F+ся.S
боронить;борон.R+и.S+ть.F
борониться;борон.R+и.S+ть.F+ся.S
бороновать;борон.R+ов.S+а.S+ть.F
бороноваться;борон.R+ов.S+а.S+ть.F+ся.S
бороться;бор.R+о.S+ть.F+ся.S
бортничать;борт.R+н.S+ич.S+а.S+ть.F
ботать;бот.R+а.S+ть.F
бочарить;боч.R+ар.S+и.S+ть.F
бочарничать;боч.R+ар.S+н.S+ича.S+ть.F
бояться;бо.R+я.S+ть.F+ся.S
бражничать;браж.R+н.S+ич.S+а.S+ть.F
браковать;брак.R+ов.S+а.S+ть.F
бранивать;бран.R+ива.S+ть.F
браниваться;бран.R+ива.S+ть.F+ся.S
бранить;бран.R+и.S+ть.F
браниться;бран.R+и.S+ть.F+ся.S
брататься;брат.R+а.S+ть.F+ся.S
брать;бр.R+а.S+ть.F
браться;бр.R+а.S+ть.F+ся.S
бредить;бред.R+и.S+ть.F
бредиться;бред.R+и.S+ть.F+ся.S
брезгать;брезг.R+а.S+ть.F
брезговать;брезг.R+ов.S+а.S+ть.F
брезжить;брезж.R+и.S+ть.F
брезжиться;брезж.R+и.S+ть.F+ся.S
бременить;брем.R+ен.S+и.S+ть.F
бренчать;бренч.R+а.S+ть.F
брести;брес.R+ти.F
брехать;брех.R+а.S+ть.F
брехнуть;брех.R+ну.S+ть.F
брить;бр.R+и.S+ть.F
бриться;бр.R+и.S+ть.F+ся.S
бродить;брод.R+и.S+ть.F
бродяжить;брод.R+яж.S+и.S+ть.F
бродяжничать;брод.R+яж.S+н.S+ича.S+ть.F
бронировать;брон.R+иров.S+а.S+ть.F
бронироваться;брон.R+иров.S+а.S+ть.F+ся.S
бросать;брос.R+а.S+ть.F
бросаться;брос.R+а.S+ть.F+ся.S
бросить;брос.R+и.S+ть.F
броситься;брос.R+и.S+ть.F+ся.S
брусовать;брус.R+ов.S+а.S+ть.F
брызгать;брызг.R+а.S+ть.F
брызгаться;брызг.R+а.S+ть.F+ся.S
брызнуть;брыз.R+ну.S+ть.F
брыкать;брык.R+а.S+ть.F
брыкаться;брык.R+а.S+ть.F+ся.S
брыкнуть;брык.R+ну.S+ть.F
брыкнуться;брык.R+ну.S+ть.F+ся.S
брюзгнуть;брюзг.R+ну.S+ть.F
брюзжать;брюзж.R+а.S+ть.F
брюхатить;брюх.R+ат.S+и.S+ть.F
брякать;бряк.R+а.S+ть.F
брякаться;бряк.R+а.S+ть.F+ся.S
брякнуть;бряк.R+ну.S+ть.F
брякнуться;бряк.R+ну.S+ть.F+ся.S
бряцать;бряц.R+а.S+ть.F
бубнить;бубн.R+и.S+ть.F
бугрить;бугр.R+и.S+ть.F
будить;буд.R+и.S+ть.F
будиться;буд.R+и.S+ть.F+ся.S
будоражить;будораж.R+и.S+ть.F
будоражиться;будораж.R+и.S+ть.F+ся.S
бузить;буз.R+и.S+ть.F
бузовать;буз.R+ов.S+а.S+ть.F
буйствовать;бу.R+й.S+ств.S+ов.S+а.S+ть.F
булгачить;булг.R+ач.S+и.S+ть.F
бултыхать;бултых.R+а.S+ть.F
бултыхаться;бултых.R+а.S+ть.F+ся.S
бултыхнуть;бултых.R+ну.S+ть.F
бултыхнуться;бултых.R+ну.S+ть.F+ся.S
булькать;буль.R+ка.S+ть.F
булькнуть;буль.R+к.S+ну.S+ть.F
бунтовать;бунт.R+ов.S+а.S+ть.F
бунтоваться;бунт.R+ов.S+а.S+ть.F+ся.S
буравить;бурав.R+и.S+ть.F
буравиться;бурав.R+и.S+ть.F+ся.S
буреть;бур.R+е.S+ть.F
бурить;бур.R+и.S+ть.F
буриться;бур.R+и.S+ть.F+ся.S
буркать;бурк.R+а.S+ть.F
буркнуть;бурк.R+ну.S+ть.F
бурлачить;бурлач.R+и.S+ть.F
бурлить;бур.R+л.S+и.S+ть.F
бурчать;бурч.R+а.S+ть.F
бутить;бут.R+и.S+ть.F
бутиться;бут.R+и.S+ть.F+ся.S
бутузить;бутуз.R+и.S+ть.F
бухать;бух.R+а.S+ть.F
бухаться;бух.R+а.S+ть.F+ся.S
бухнуться;бух.R+ну.S+ть.F+ся.S
бучить;буч.R+и.S+ть.F
бучиться;буч.R+и.S+ть.F+ся.S
бушевать;буш.R+ев.S+а.S+ть.F
буянить;бу.R+ян.S+и.S+ть.F
бывать;бы.R+ва.S+ть.F
бытовать;бы.R+т.S+ов.S+а.S+ть.F
быть;бы.R+ть.F
бычиться;быч.R+и.S+ть.F+ся.S
бюрократизировать;бюрократ.R+из.S+ир.S+ов.S+а.S+ть.F
бюрократизироваться;бюрократ.R+из.S+ир.S+ов.S+а.S+ть.F+ся.S
бякать;бяк.R+а.S+ть.F
бякнуть;бяк.R+ну.S+ть.F
вабить;ваб.R+и.S+ть.F
важничать;важ.R+н.S+ича.S+ть.F
ваксить;вакс.R+и.S+ть.F
вакситься;вакс.R+и.S+ть.F+ся.S
валандаться;валанд.R+а.S+ть.F+ся.S
валивать;вал.R+ива.S+ть.F
валить;вал.R+и.S+ть.F
валиться;вал.R+и.S+ть.F+ся.S
валять;вал.R+я.S+ть.F
валяться;вал.R+я.S+ть.F+ся.S
варганить;варган.R+и.S+ть.F
варивать;вар.R+ива.S+ть.F
варить;вар.R+и.S+ть.F
вариться;вар.R+и.S+ть.F+ся.S
ваять;вая.R+ть.F
вбегать;в.P+бег.R+а.S+ть.F
вбежать;в.P+беж.R+а.S+ть.F
вбивать;в.P+би.R+ва.S+ть.F
вбиваться;в.P+би.R+ва.S+ть.F+ся.S
вбирать;в.P+бир.R+а.S+ть.F
вбираться;в.P+бир.R+а.S+ть.F+ся.S
вбить;в.P+би.R+ть.F
вбрасывать;в.P+брас.R+ыва.S+ть.F
вбрасываться;в.P+брас.R+ыва.S+ть.F+ся.S
вбросать;в.P+брос.R+а.S+ть.F
вбросить;в.P+брос.R+и.S+ть.F
вброситься;в.P+брос.R+и.S+ть.F+ся.S
вбухать;в.P+бух.R+а.S+ть.F
вбухаться;в.P+бух.R+а.S+ть.F+ся.S
вбухивать;в.P+бух.R+ива.S+ть.F
вбухиваться;в.P+бух.R+ив.S+а.S+ть.F+ся.S
вбухнуть;в.P+бух.R+ну.S+ть.F
вбухнуться;в.P+бух.R+ну.S+ть.F+ся.S
вваливать;в.P+вал.R+ива.S+ть.F
вваливаться;в.P+вал.R+ива.S+ть.F+ся.S
ввалить;в.P+вал.R+и.S+ть.F
ввалиться;в.P+вал.R+и.S+ть.F+ся.S
вваривать;в.P+вар.R+ив.S+а.S+ть.F
вварить;в.P+вар.R+и.S+ть.F
ввезти;в.P+вез.R+ти.F
ввергать;в.P+верг.R+а.S+ть.F
ввергаться;в.P+верг.R+а.S+ть.F+ся.S
ввергнуть;в.P+верг.R+ну.S+ть.F
ввергнуться;в.P+верг.R+ну.S+ть.F+ся.S
вверзиться;в.P+верз.R+и.S+ть.F+ся.S
вверить;в.P+вер.R+и.S+ть.F
ввериться;в.P+вер.R+и.S+ть.F+ся.S
ввернуть;в.P+вер.R+ну.S+ть.F
ввернуться;в.P+вер.R+ну.S+ть.F+ся.S
вверстать;в.P+верст.R+а.S+ть.F
вверстывать;в.P+верст.R+ыв.S+а.S+ть.F
ввёрстывать;в.P+вёрст.R+ыва.S+ть.F
ввертеть;в.P+верт.R+е.S+ть.F
ввертывать;в.P+верт.R+ыв.S+а.S+ть.F
ввёртывать;в.P+вёрт.R+ыва.S+ть.F
ввёртываться;в.P+вёрт.R+ыва.S+ть.F+ся.S
вверчивать;в.P+верч.R+ива.S+ть.F
вверчиваться;в.P+верч.R+ива.S+ть.F+ся.S
вверять;в.P+вер.R+я.S+ть.F
вверяться;в.P+вер.R+я.S+ть.F+ся.S
ввести;в.P+вес.R+ти.F
ввестись;в.P+вес.R+ти.F+сь.S
ввивать;в.P+ви.R+ва.S+ть.F
ввиваться;в.P+ви.R+ва.S+ть.F+ся.S
ввинтить;в.P+винт.R+и.S+ть.F
ввинтиться;в.P+винт.R+и.S+ть.F+ся.S
ввинчивать;в.P+винч.R+ива.S+ть.F
ввинчиваться;в.P+винч.R+ива.S+ть.F+ся.S
ввить;в.P+ви.R+ть.F
ввиться;в.P+ви.R+ть.F+ся.S
вводить;в.P+вод.R+и.S+ть.F
вводиться;в.P+вод.R+и.S+ть.F+ся.S
ввозить;в.P+воз.R+и.S+ть.F
ввозиться;в.P+воз.R+и.S+ть.F+ся.S
вволакивать;в.P+волак.R+ива.S+ть.F
вволакиваться;в.P+волак.R+ива.S+ть.F+ся.S
вволочить;в.P+волоч.R+и.S+ть.F
вволочь;в.P+волоч.R+ь.F
вворачивать;в.P+ворач.R+ива.S+ть.F
вворачиваться;в.P+ворач.R+ива.S+ть.F+ся.S
вворотить;в.P+ворот.R+и.S+ть.F
ввязать;в.P+вяз.R+а.S+ть.F
ввязаться;в.P+вяз.R+а.S+ть.F+ся.S
ввязнуть;в.P+вяз.R+ну.S+ть.F
ввязывать;в.P+вяз.R+ыва.S+ть.F
ввязываться;в.P+вяз.R+ыва.S+ть.F+ся.S
вгибать;в.P+гиб.R+а.S+ть.F
вгибаться;в.P+гиб.R+а.S+ть.F+ся.S
вглядеться;в.P+гляд.R+е.S+ть.F+ся.S
вглядываться;в.P+гляд.R+ыва.S+ть.F+ся.S
вгнездиться;в.P+гнезд.R+и.S+ть.F+ся.S
вгонять;в.P+гон.R+я.S+ть.F
вгоняться;в.P+гон.R+я.S+ть.F+ся.S
вгрызаться;в.P+грыз.R+а.S+ть.F+ся.S
вгрызться;в.P+грыз.R+ть.F+ся.S
вдаваться;в.P+да.R+ва.S+ть.F+ся.S
вдавить;в.P+дав.R+и.S+ть.F
вдавиться;в.P+дав.R+и.S+ть.F+ся.S
вдавленный;в.P+дав.R+л.S+енн.S+ый.F
вдавливать;в.P+дав.R+л.S+ива.S+ть.F
вдавливаться;в.P+дав.R+л.S+ива.S+ть.F+ся.S
вдалбливать;в.P+далб.R+л.S+ива.S+ть.F
вдалбливаться;в.P+далб.R+л.S+ива.S+ть.F+ся.S
вдарить;в.P+дар.R+и.S+ть.F
вдаться;в.P+да.R+ть.F+ся.S
вдвигать;в.P+двиг.R+а.S+ть.F
вдвигаться;в.P+двиг.R+а.S+ть.F+ся.S
вдвинуть;в.P+дви.R+ну.S+ть.F
вдвинуться;в.P+дви.R+ну.S+ть.F+ся.S
вдевать;в.P+де.R+ва.S+ть.F
вдеваться;в.P+де.R+ва.S+ть.F+ся.S
вделать;в.P+де.R+л.S+а.S+ть.F
вделаться;в.P+де.R+л.S+а.S+ть.F+ся.S
вделывать;в.P+де.R+л.S+ыва.S+ть.F
вделываться;в.P+де.R+л.S+ыва.S+ть.F+ся.S
вдергивать;в.P+дерг.R+ив.S+а.S+ть.F
вдёргивать;в.P+дёрг.R+ива.S+ть.F
вдёргиваться;в.P+дёрг.R+ива.S+ть.F+ся.S
вдернуть;в.P+дер.R+ну.S+ть.F
вдёрнуть;в.P+дёр.R+ну.S+ть.F
вдёрнуться;в.P+дёр.R+ну.S+ть.F+ся.S
вдеть;в.P+де.R+ть.F
вдеться;в.P+де.R+ть.F+ся.S
вдоветь;вдов.R+е.S+ть.F
вдовствовать;вдов.R+ств.S+ов.S+а.S+ть.F
вдолбить;в.P+долб.R+и.S+ть.F
вдолбиться;в.P+долб.R+и.S+ть.F+ся.S
вдохновить;в.P+дох.R+н.S+ов.S+и.S+ть.F
вдохновиться;в.P+дох.R+н.S+ов.S+и.S+ть.F+ся.S
вдохновлять;в.P+дох.R+н.S+ов.S+л.S+я.S+ть.F
вдохновляться;в.P+дох.R+н.S+ов.S+л.S+я.S+ть.F+ся.S
вдохнуть;в.P+дох.R+ну.S+ть.F
вдохнуться;в.P+дох.R+ну.S+ть.F+ся.S
вдувать;в.P+ду.R+ва.S+ть.F
вдуваться;в.P+ду.R+ва.S+ть.F+ся.S
вдуматься;в.P+дум.R+а.S+ть.F+ся.S
вдумываться;в.P+дум.R+ыва.S+ть.F+ся.S
вдунуть;в.P+ду.R+ну.S+ть.F
вдунуться;в.P+ду.R+ну.S+ть.F+ся.S
вдуть;в.P+ду.R+ть.F
вдыхать;в.P+дых.R+а.S+ть.F
вдыхаться;в.P+дых.R+а.S+ть.F+ся.S
ведать;вед.R+а.S+ть.F
ведаться;вед.R+а.S+ть.F+ся.S
ведренеть;ведр.R+ен.S+е.S+ть.F
ведывать;вед.R+ыва.S+ть.F
везти;вез.R+ти.F
везтись;вез.R+ти.F+сь.S
вековать;век.R+ов.S+а.S+ть.F
велеть;вел.R+е.S+ть.F
величать;вел.R+ич.S+а.S+ть.F
величаться;вел.R+ич.S+а.S+ть.F+ся.S
венчать;вен.R+ч.S+а.S+ть.F
венчаться;вен.R+ч.S+а.S+ть.F+ся.S
вербовать;верб.R+ов.S+а.S+ть.F
вербоваться;верб.R+ов.S+а.S+ть.F+ся.S
вередить;веред.R+и.S+ть.F
верезжать;верезж.R+а.S+ть.F
верещать;верещ.R+а.S+ть.F
верить;вер.R+и.S+ть.F
вериться;вер.R+и.S+ть.F+ся.S
вернуть;вер.R+ну.S+ть.F
вернуться;вер.R+ну.S+ть.F+ся.S
веровать;вер.R+ов.S+а.S+ть.F
вероломствовать;веролом.R+ств.S+ов.S+а.S+ть.F
верстать;верст.R+а.S+ть.F
верстаться;верст.R+а.S+ть.F+ся.S
вертеть;верт.R+е.S+ть.F
вертеться;верт.R+е.S+ть.F+ся.S
вертопрашничать;вертопраш.R+н.S+ич.S+а.S+ть.F
верховенствовать;верх.R+ов.S+енств.S+ов.S+а.S+ть.F
вершить;верш.R+и.S+ть.F
вершиться;верш.R+и.S+ть.F+ся.S
веселеть;весел.R+е.S+ть.F
веселить;весел.R+и.S+ть.F
веселиться;весел.R+и.S+ть.F+ся.S
веселящий;весел.R+ящ.S+ий.F
весить;вес.R+и.S+ть.F
веситься;вес.R+и.S+ть.F+ся.S
вестись;вес.R+ти.F+сь.S
ветвиться;вет.R+в.S+и.S+ть.F+ся.S
ветренеть;ветр.R+ен.S+е.S+ть.F
ветреничать;ветр.R+ен.S+ич.S+а.S+ть.F
ветреть;ветр.R+е.S+ть.F
ветшать;ветш.R+а.S+ть.F
вечереть;вечер.R+е.S+ть.F
вечерять;вечер.R+я.S+ть.F
вешать;веш.R+а.S+ть.F
вешаться;веш.R+а.S+ть.F+ся.S
вешить;веш.R+и.S+ть.F
вещать;вещ.R+а.S+ть.F
вещаться;вещ.R+а.S+ть.F+ся.S
веять;ве.R+я.S+ть.F
веяться;ве.R+я.S+ть.F+ся.S
вжать;в.P+жа.R+ть.F
вжаться;в.P+жа.R+ть.F+ся.S
вживаться;в.P+жи.R+ва.S+ть.F+ся.S
вживить;в.P+жив.R+и.S+ть.F
вживлять;в.P+живл.R+я.S+ть.F
вжимать;в.P+жим.R+а.S+ть.F
вжиматься;в.P+жим.R+а.S+ть.F+ся.S
вжиться;в.P+жи.R+ть.F+ся.S
взалкать;вз.P+алк.R+а.S+ть.F
взариться;в.P+зар.R+и.S+ть.F+ся.S
взбадривать;вз.P+бадр.R+ива.S+ть.F
взбадриваться;вз.P+бадр.R+ива.S+ть.F+ся.S
взбаламутить;вз.P+баламут.R+и.S+ть.F
взбаламутиться;вз.P+баламут.R+и.S+ть.F+ся.S
взбаламученный;вз.P+баламуч.R+енн.S+ый.F
взбалтывать;вз.P+балт.R+ыва.S+ть.F
взбалтываться;вз.P+балт.R+ыва.S+ть.F+ся.S
взбегать;вз.P+бег.R+а.S+ть.F
взбежать;вз.P+беж.R+а.S+ть.F
взбеленить;вз.P+белен.R+и.S+ть.F
взбелениться;вз.P+белен.R+и.S+ть.F+ся.S
взбесить;вз.P+бес.R+и.S+ть.F
взбеситься;вз.P+бес.R+и.S+ть.F+ся.S
взбешённый;вз.P+беш.R+ённ.S+ый.F
взбивать;вз.P+би.R+ва.S+ть.F
взбиваться;вз.P+би.R+ва.S+ть.F+ся.S
взбираться;вз.P+бир.R+а.S+ть.F+ся.S
взбитый;вз.P+би.R+т.S+ый.F
взбить;вз.P+би.R+ть.F
взбиться;вз.P+би.R+ть.F+ся.S
взблескивать;вз.P+блеск.R+ива.S+ть.F
взблеснуть;вз.P+блес.R+ну.S+ть.F
взбодрить;вз.P+бодр.R+и.S+ть.F
взбодриться;вз.P+бодр.R+и.S+ть.F+ся.S
взболтать;вз.P+болт.R+а.S+ть.F
взболтаться;вз.P+болт.R+а.S+ть.F+ся.S
взболтнуть;вз.P+болт.R+ну.S+ть.F
взбороздить;вз.P+борозд.R+и.S+ть.F
взборонить;вз.P+борон.R+и.S+ть.F
взбороновать;вз.P+борон.R+ов.S+а.S+ть.F
взбрасывать;вз.P+брас.R+ыва.S+ть.F
взбрасываться;вз.P+брас.R+ыва.S+ть.F+ся.S
взбредать;вз.P+бред.R+а.S+ть.F
взбрести;вз.P+брес.R+ти.F
взбросить;вз.P+брос.R+и.S+ть.F
взбрызгивать;вз.P+брызг.R+ива.S+ть.F
взбрызгиваться;вз.P+брызг.R+ива.S+ть.F+ся.S
взбрызнуть;вз.P+брыз.R+ну.S+ть.F
взбрызнуться;вз.P+брыз.R+ну.S+ть.F+ся.S
взбрыкивать;вз.P+брык.R+ива.S+ть.F
взбрыкнуть;вз.P+брык.R+ну.S+ть.F
взбугрить;вз.P+бугр.R+и.S+ть.F
взбугриться;вз.P+бугр.R+и.S+ть.F+ся.S
взбудоражить;вз.P+будораж.R+и.S+ть.F
взбудоражиться;вз.P+будораж.R+и.S+ть.F+ся.S
взбулгачить;вз.P+булгач.R+и.S+ть.F
взбунтовать;вз.P+бунт.R+ов.S+а.S+ть.F
взбунтоваться;вз.P+бунт.R+ов.S+а.S+ть.F+ся.S
взбурлить;вз.P+бур.R+л.S+и.S+ть.F
взбутетенить;вз.P+бутетен.R+и.S+ть.F
взбухать;вз.P+бух.R+а.S+ть.F
взбухнуть;вз.P+бух.R+ну.S+ть.F
взбучить;вз.P+буч.R+и.S+ть.F
взбушевать;вз.P+буш.R+ев.S+а.S+ть.F
взбушеваться;вз.P+буш.R+ев.S+а.S+ть.F+ся.S
взваливать;вз.P+вал.R+ива.S+ть.F
взваливаться;вз.P+вал.R+ива.S+ть.F+ся.S
взвалить;вз.P+вал.R+и.S+ть.F
взвалиться;вз.P+вал.R+и.S+ть.F+ся.S
взваривать;вз.P+вар.R+ив.S+а.S+ть.F
взварить;вз.P+вар.R+и.S+ть.F
взвевать;вз.P+ве.R+ва.S+ть.F
взвеваться;вз.P+ве.R+ва.S+ть.F+ся.S
взвезти;вз.P+вез.R+ти.F
взвеселить;вз.P+весел.R+и.S+ть.F
взвеселиться;вз.P+весел.R+и.S+ть.F+ся.S
взвеселять;вз.P+весел.R+я.S+ть.F
взвеселяться;вз.P+весел.R+я.S+ть.F+ся.S
взвесить;вз.P+вес.R+и.S+ть.F
взвеситься;вз.P+вес.R+и.S+ть.F+ся.S
взвести;вз.P+вес.R+ти.F
взвестись;вз.P+вес.R+ти.F+сь.S
взвешивать;вз.P+веш.R+ива.S+ть.F
взвешиваться;вз.P+веш.R+ива.S+ть.F+ся.S
